## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics  --INPUT 043F13.sorted.bam --OUTPUT f13sorted_collectwgsmetrics.txt --REFERENCE_SEQUENCE hg19/ucsc.hg19.fasta  --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 04 21:31:22 CDT 2019

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	45.788045	14.402311	46	6	0.047527	0	0.000634	0.021165	0.106138	0.014067	0.189531	0.970533	0.96735	0.964966	0.962621	0.959677	0.954271	0.937595	0.767801	0.375756	0.094383	0.015865	0.004828	0.003284	0.002648	0.969036	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	85374800
1	3338268
2	2328796
3	1897192
4	1659004
5	1518793
6	1415664
7	1350912
8	1318152
9	1301497
10	1305656
11	1321751
12	1348074
13	1385582
14	1434076
15	1496537
16	1580605
17	1679597
18	1805622
19	1966622
20	2203321
21	2519641
22	2962292
23	3570149
24	4407072
25	5550693
26	7078498
27	9088216
28	11676813
29	14923929
30	18918806
31	23726116
32	29355057
33	35823972
34	43033894
35	50929912
36	59342195
37	68129899
38	76991237
39	85693369
40	94000293
41	101617545
42	108299237
43	113815883
44	117996859
45	120670930
46	121847019
47	121490842
48	119694780
49	116442205
50	112037162
51	106552581
52	100206776
53	93250824
54	85880102
55	78314482
56	70672174
57	63200951
58	55970948
59	49139152
60	42745923
61	36879588
62	31567200
63	26807590
64	22590987
65	18901617
66	15709548
67	12970241
68	10640784
69	8677226
70	7042848
71	5688846
72	4581468
73	3683292
74	2949683
75	2365082
76	1897667
77	1530710
78	1235290
79	1003677
80	824571
81	681408
82	572211
83	485572
84	417039
85	365101
86	324421
87	292267
88	266038
89	244537
90	228203
91	214784
92	201879
93	192922
94	184111
95	177415
96	169730
97	163968
98	157516
99	152451
100	146260
101	140899
102	136834
103	132147
104	127701
105	123505
106	119098
107	115541
108	111391
109	107998
110	103910
111	99923
112	97123
113	93635
114	90651
115	88164
116	85425
117	83053
118	80646
119	78361
120	75676
121	73577
122	71676
123	70029
124	67733
125	66220
126	64905
127	62924
128	62030
129	60579
130	59238
131	58080
132	57056
133	55630
134	54785
135	53795
136	52846
137	52868
138	51963
139	51267
140	50632
141	49409
142	48999
143	48278
144	47981
145	47181
146	46238
147	45932
148	45463
149	44619
150	43631
151	43585
152	43047
153	42717
154	42688
155	42290
156	41779
157	41596
158	41174
159	40771
160	40608
161	40465
162	39895
163	39629
164	39395
165	38882
166	38575
167	38188
168	37654
169	37302
170	36872
171	36281
172	35821
173	35319
174	34757
175	33775
176	33727
177	33074
178	32407
179	31860
180	31337
181	31307
182	30693
183	30419
184	29710
185	28865
186	28477
187	27840
188	27610
189	26942
190	26533
191	25645
192	25299
193	24817
194	24257
195	24205
196	23812
197	23427
198	23044
199	22661
200	22286
201	21961
202	21630
203	21293
204	20870
205	20688
206	20472
207	20054
208	19679
209	19662
210	19380
211	19049
212	18754
213	18727
214	18302
215	18002
216	17981
217	17545
218	17427
219	17424
220	16968
221	16646
222	16670
223	16443
224	16240
225	16057
226	15743
227	15603
228	15421
229	15157
230	14939
231	14664
232	14501
233	14244
234	13999
235	13858
236	13798
237	13338
238	13290
239	12832
240	12755
241	12629
242	12617
243	12459
244	12112
245	12186
246	11717
247	11522
248	11373
249	11035
250	1305485

