## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics  --INPUT 043F13.recal.bam --OUTPUT collect_wgs_metrics/043F13-recal.txt --REFERENCE_SEQUENCE hg19/ucsc.hg19.fasta  --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 06 04:08:28 CDT 2019

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	37.187691	11.660822	38	5	0.047343	0.184808	0.000371	0.015256	0.08751	0.00902	0.344308	0.97052	0.966857	0.964071	0.960994	0.956053	0.938861	0.866125	0.409205	0.059691	0.006621	0.003546	0.002721	0.002179	0.001822	0.967765	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	85413676
1	4026651
2	2586280
3	2127707
4	1870785
5	1720763
6	1615354
7	1574791
8	1571035
9	1589930
10	1625100
11	1679828
12	1752189
13	1860757
14	1997097
15	2156003
16	2379726
17	2704446
18	3174663
19	3901343
20	4988309
21	6597468
22	8967956
23	12331831
24	16923957
25	23015730
26	30808083
27	40392051
28	51777623
29	64745638
30	78995315
31	94013045
32	109131436
33	123520369
34	136513596
35	147247057
36	155189642
37	159749522
38	160901746
39	158577973
40	153078476
41	144725186
42	134127344
43	121873816
44	108662613
45	95073952
46	81728570
47	69080293
48	57382050
49	46919646
50	37769777
51	29933397
52	23397989
53	18017501
54	13703822
55	10321095
56	7696789
57	5685103
58	4176746
59	3057109
60	2238435
61	1649889
62	1228725
63	930980
64	722245
65	576575
66	475375
67	407227
68	356299
69	321930
70	296245
71	277197
72	262331
73	249693
74	238619
75	229006
76	221343
77	213202
78	205337
79	197603
80	189677
81	181598
82	174096
83	166517
84	158751
85	152138
86	145197
87	140035
88	133874
89	127947
90	122637
91	117925
92	113059
93	108552
94	104061
95	100970
96	97456
97	93767
98	90081
99	87701
100	84667
101	82188
102	78916
103	76691
104	74817
105	73612
106	71200
107	69338
108	68048
109	66528
110	65387
111	64576
112	63769
113	63175
114	61699
115	60531
116	59345
117	57930
118	57481
119	56630
120	55174
121	54931
122	54534
123	53584
124	53446
125	52393
126	51720
127	51200
128	51167
129	50803
130	51085
131	50090
132	49358
133	48808
134	48506
135	47507
136	47245
137	46355
138	45576
139	44976
140	44353
141	43708
142	42928
143	41779
144	41259
145	40165
146	39479
147	38937
148	37787
149	37264
150	35971
151	35423
152	34223
153	33522
154	32448
155	31756
156	31278
157	30670
158	30065
159	29238
160	28273
161	28011
162	27191
163	26694
164	26145
165	25405
166	25169
167	24354
168	24087
169	23882
170	23799
171	23229
172	22883
173	22820
174	22112
175	22177
176	21550
177	21175
178	21227
179	20711
180	20505
181	20147
182	19793
183	19398
184	19491
185	19411
186	18816
187	18498
188	18573
189	17938
190	17685
191	17527
192	17395
193	16929
194	16752
195	16390
196	16169
197	15577
198	15298
199	14687
200	14595
201	13954
202	13671
203	13549
204	13072
205	12925
206	12692
207	12533
208	12024
209	11885
210	11607
211	11373
212	11086
213	10669
214	10611
215	10445
216	10153
217	10044
218	9793
219	9675
220	9327
221	9106
222	8760
223	8815
224	8714
225	8256
226	8148
227	7970
228	7949
229	7692
230	7364
231	7514
232	7242
233	7082
234	7107
235	6929
236	6832
237	6709
238	6483
239	6204
240	6225
241	6234
242	6030
243	5936
244	6039
245	5749
246	5682
247	5597
248	5605
249	5559
250	894095

