## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics  --INPUT 045F15.recal.bam --OUTPUT collect_wgs_metrics/045F15-recal.txt --REFERENCE_SEQUENCE hg19/ucsc.hg19.fasta  --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 07 00:16:10 CDT 2019

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	30.065767	10.089561	30	4	0.048928	0.184435	0.000358	0.014753	0.064843	0.010622	0.32394	0.970395	0.966191	0.962389	0.956576	0.932257	0.819151	0.559688	0.090959	0.007754	0.003142	0.002316	0.001804	0.00145	0.001199	0.967271	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	85773820
1	4358797
2	2996807
3	2526734
4	2297712
5	2177313
6	2138769
7	2154256
8	2218088
9	2329048
10	2503078
11	2764513
12	3143310
13	3738889
14	4691836
15	6234765
16	8667047
17	12381503
18	17812176
19	25364083
20	35435050
21	48179758
22	63461032
23	80891983
24	99734988
25	118958114
26	137287684
27	153577823
28	166596884
29	175323815
30	179277409
31	178329227
32	172667385
33	162984359
34	150164726
35	135113730
36	118906561
37	102431580
38	86526592
39	71653160
40	58281677
41	46595150
42	36667012
43	28427787
44	21742295
45	16431967
46	12268490
47	9086550
48	6686767
49	4883785
50	3564608
51	2600002
52	1905662
53	1416576
54	1069710
55	823528
56	648610
57	523327
58	436938
59	372585
60	327475
61	295577
62	270449
63	251386
64	236017
65	222700
66	211025
67	201589
68	192289
69	184406
70	176616
71	170087
72	163586
73	156916
74	150230
75	143657
76	138199
77	132754
78	127287
79	122890
80	117905
81	114038
82	111157
83	106674
84	103706
85	100925
86	97979
87	93955
88	91322
89	88711
90	85305
91	83223
92	79347
93	76048
94	73393
95	71510
96	68501
97	66272
98	63401
99	60765
100	59049
101	56153
102	54418
103	52297
104	51098
105	49056
106	47449
107	46179
108	44376
109	43634
110	42820
111	41880
112	41133
113	40217
114	39835
115	38661
116	38268
117	37746
118	37420
119	37221
120	36501
121	36177
122	35676
123	35455
124	35003
125	35067
126	34152
127	33996
128	33261
129	32980
130	32079
131	31612
132	31268
133	30348
134	30081
135	29550
136	29202
137	28637
138	27744
139	27050
140	26432
141	26293
142	25883
143	25330
144	25367
145	24705
146	24199
147	23763
148	23665
149	23222
150	22690
151	22303
152	22016
153	21946
154	21503
155	21345
156	21176
157	20818
158	20397
159	19831
160	19242
161	18734
162	18194
163	18076
164	17564
165	17183
166	16507
167	16103
168	15718
169	15374
170	14760
171	14750
172	14370
173	13903
174	13386
175	13234
176	12562
177	12601
178	12193
179	11632
180	11558
181	11411
182	10958
183	10606
184	10374
185	10143
186	9994
187	9613
188	9459
189	9149
190	8997
191	8702
192	8588
193	8414
194	8129
195	7976
196	7856
197	7723
198	7547
199	7428
200	7166
201	6874
202	6950
203	6705
204	6539
205	6535
206	6423
207	6150
208	6112
209	5926
210	5893
211	5871
212	5744
213	5592
214	5701
215	5567
216	5459
217	5489
218	5413
219	5167
220	5053
221	5242
222	5001
223	4936
224	4849
225	4835
226	4736
227	4532
228	4501
229	4580
230	4574
231	4363
232	4438
233	4423
234	4460
235	4283
236	4291
237	4348
238	4238
239	4288
240	4141
241	4077
242	3968
243	3955
244	3937
245	3750
246	3827
247	3787
248	3629
249	3614
250	723484

